,순위,가수,노래제목
0,1,지코 (ZICO),SPOT! (feat. JENNIE)
1,2,IVE (아이브),해야 (HEYA)
2,3,아일릿(ILLIT),Magnetic
3,4,QWER,고민중독
4,5,(여자)아이들,나는 아픈 건 딱 질색이니까
5,6,Crush,미안해 미워해 사랑해
6,7,aespa,Supernova
7,8,TWS (투어스),첫 만남은 계획대로 되지 않아
8,9,이클립스 (ECLIPSE),소나기
9,10,이창섭,천상연
10,11,임영웅,사랑은 늘 도망가
11,12,BABYMONSTER,SHEESH
12,13,비비 (BIBI),밤양갱
13,14,DAY6 (데이식스),예뻤어
14,15,임영웅,우리들의 블루스
15,16,아이유,Love wins all
16,17,DAY6 (데이식스),한 페이지가 될 수 있게
17,18,임영웅,온기
18,19,임영웅,모래 알갱이
19,20,세븐틴 (SEVENTEEN),MAESTRO
20,21,임영웅,다시 만날 수 있을까
21,22,임영웅,Home
22,23,임영웅,Do or Die
23,24,임영웅,이제 나만 믿어요
24,25,임재현,비의 랩소디
25,26,임영웅,London Boy
26,27,임영웅,무지개
27,28,임영웅,Polaroid
28,29,임영웅,인생찬가
29,30,이무진,에피소드
30,31,태연 (TAEYEON),To. X
31,32,임영웅,연애편지
32,33,너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
33,34,LE SSERAFIM (르세라핌),EASY
34,35,NewJeans,Hype Boy
35,36,LE SSERAFIM (르세라핌),Smart
36,37,정국,Seven (feat. Latto) - Clean Ver.
37,38,박재정,헤어지자 말해요
38,39,IVE (아이브),I AM
39,40,DAY6 (데이식스),Welcome to the Show
40,41,임영웅,보금자리
41,42,aespa,Drama
42,43,RIIZE,Love 119
43,44,NewJeans,ETA
44,45,PLAVE,WAY 4 LUV
45,46,멜로망스,사랑인가 봐
46,47,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
47,48,NewJeans,Super Shy
48,49,LE SSERAFIM (르세라핌),Perfect Night
49,50,범진,인사
50,51,NewJeans,Ditto
51,52,아일릿(ILLIT),Lucky Girl Syndrome
52,53,성시경,너의 모든 순간
53,54,세븐틴 (SEVENTEEN),손오공
54,55,세븐틴 (SEVENTEEN),청춘찬가
55,56,아이유,홀씨
56,57,VIVIZ (비비지),MANIAC
57,58,방탄소년단,봄날
58,59,"조이 (JOY), BIG Naughty (서동현)",내 입술 따뜻한 커피처럼
59,60,KISS OF LIFE,Midas Touch
60,61,우디 (Woody),사막에서 꽃을 피우듯
61,62,태연 (TAEYEON),꿈
62,63,방탄소년단,Dynamite
63,64,aespa,Spicy
64,65,PLAVE,우리 영화
65,66,잔나비,주저하는 연인들을 위해
66,67,RIIZE,Impossible
67,68,AKMU (악뮤),Love Lee
68,69,유회승 (엔플라잉),그랬나봐
69,70,(여자)아이들,퀸카 (Queencard)
70,71,NewJeans,OMG
71,72,RIIZE,Get A Guitar
72,73,PLAVE,From
73,74,순순희 (지환),슬픈 초대장
74,75,NewJeans,Attention
75,76,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
76,77,PLAVE,Watch Me Woo!
77,78,IVE (아이브),LOVE DIVE
78,79,10CM,봄눈
79,80,윤하 (YOUNHA),사건의 지평선
80,81,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
81,82,김민석,취중고백
82,83,RIIZE,Siren
83,84,PLAVE,버추얼 아이돌
84,85,IVE (아이브),Baddie
85,86,순순희(기태),그대가 내 안에 박혔다(그내박)
86,87,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
87,88,Charlie Puth,I Don't Think That I Like Her
88,89,"경서예지, 전건호",다정히 내 이름을 부르면
89,90,임한별,사랑하지 않아서 그랬어
90,91,(여자)아이들,Super Lady
91,92,세븐틴 (SEVENTEEN),음악의 신
92,93,제니 (JENNIE),You & Me
93,94,DK(디셈버),심(心)
94,95,헤이즈 (Heize),멈춰줘
95,96,IVE (아이브),Kitsch
96,97,우디 (Woody),혹시 세상에 혼자 남겨진 것 같다면
97,98,폴킴,좋아해요
98,99,도영 (DOYOUNG),반딧불 (Little Light)
99,100,AKMU (악뮤),후라이의 꿈
